ItemName,ItemType,Thick
عاكس ابيض,sheet,8
عاكس ابيض,sqm,8
عاكس اخضر,box,8
عاكس اخضر,sheet,8
عاكس اخضر,sqm,8
عاكس ازرق فاتح,box,8
عاكس ازرق فاتح,sheet,8
عاكس ازرق فاتح,sqm,8
عاكس اسود,box,8
عاكس اسود,sheet,8
عاكس اسود,sqm,8
عاكس برونز,box,8
عاكس برونز,sheet,8
عاكس برونز,sqm,8
كريستال,box,8
كريستال,sheet,8
كريستال,sqm,8
مرايا ابيض,box,8
مرايا ابيض,sheet,8
مرايا ابيض,sqm,8
مغشى اسيد,box,8
مغشى اسيد,sheet,8
مغشى اسيد,sqm,8
Metal Frames System,unit,70
بلور,unit,0
بنسة زجاج,unit,65.1
بيكار 40سم,unit,61
بيكار 50 سم,unit,61
بيكار 80 سم,unit,61
بيكار120سم,unit,61.1
بيكار140سم,unit,61.1
بيكار150سم,unit,61.5
بيكار180سم,unit,61.2
دوبل فتراج,unit,97
دوبل فتراج 6ملم برش ابيض+ بلور,unit,97
دوبل فتراج بلور+ اسود,unit,97
دوبل فتراج بلور+ برونز,unit,97
دوبل فتراج بلور+ بلور,unit,97
دوبل فتراج6ملم بلور+ مشرط اسود,unit,97
دوبل فراج 6ملم بلور+ 6 ملم ازرق فاتح,unit,97
دوبل فراج 6ملم بلور+8 ملم مغشى اسيد,unit,97
دوبل فراج مشرط ابيض + بلور,unit,97
دوبل فيتراج 6 ملم تربلكس+6ملم تربلكس,unit,97
دولاب خشب,unit,64.2
دولاب كاز,unit,64.1
راس مسطرة قص,unit,62.9
رقم الكونتينر,unit,98
زاوية 100سم,unit,60.1
زاوية 110سم,unit,60.1
زاوية 120سم,unit,60.1
زاوية 130 سم,unit,60.1
زاوية 140 سم,unit,60.1
زاوية 145 سم زرقاء,unit,60.1
زاوية 150سم,unit,60.1
زاوية 155سم,unit,60.1
زاوية 160سم,unit,60.1
زاوية 80سم,unit,60
زاوية 90سم,unit,60
زاوية60سم,unit,60
عاكس برونز,box,5
عاكس برونز,sheet,5
فانتوس,unit,67.1
فانتوس اسود 175,unit,67.2
فانتوس برونز 135,unit,67.3
كفوف,unit,66.1
كوتشوك,unit,69.1
محجر اسيد تلفزيون,sheet,4
محجر اسيد ديكور رقم 1,box,4
محجر اسيد ديكور رقم 1,sheet,4
محجر اسيد ديكور رقم 1,sqm,4
محجر اسيد ديكور رقم 10,box,4
محجر اسيد ديكور رقم 10,sheet,4
محجر اسيد ديكور رقم 10,sqm,4
محجر اسيد ديكور رقم 2,box,4
محجر اسيد ديكور رقم 2,sheet,4
محجر اسيد ديكور رقم 2,sqm,4
محجر اسيد ديكور رقم 3,box,4
محجر اسيد ديكور رقم 3,sheet,4
محجر اسيد ديكور رقم 3,sqm,4
محجر اسيد ديكور رقم 4,box,4
محجر اسيد ديكور رقم 4,sheet,4
محجر اسيد ديكور رقم 4,sqm,4
محجر اسيد ديكور رقم 5,box,4
محجر اسيد ديكور رقم 5,sheet,4
محجر اسيد ديكور رقم 5,sqm,4
محجر اسيد ديكور رقم 6,box,4
محجر اسيد ديكور رقم 6,sheet,4
محجر اسيد ديكور رقم 6,sqm,4
محجر اسيد ديكور رقم 7,box,4
محجر اسيد ديكور رقم 7,sheet,4
محجر اسيد ديكور رقم 7,sqm,4
محجر اسيد ديكور رقم 8,box,4
محجر اسيد ديكور رقم 8,sheet,4
محجر اسيد ديكور رقم 8,sqm,4
محجر اسيد ديكور رقم 9,box,4
محجر اسيد ديكور رقم 9,sheet,4
محجر اسيد ديكور رقم 9,sqm,4
محجر اسيد مشكل,box,4
محجر اسيد مشكل,sheet,4
محجر اسيد مشكل,sqm,4
محجر بازل ابيض,box,3.5
محجر بازل ابيض,sheet,3.5
محجر دلتا ابيض,box,3.5
محجر دلتا ابيض,sheet,3.5
محجر دلتا برونز,box,3.5
محجر دلتا برونز,sheet,3.5
مرايا اسيد مشكل,sqm,4
مرايا اسيد ملون,sqm,4
مسطرة قص120سم,unit,62.1
مسطرة قص150سم,unit,62.1
مسطرة قص180سم,unit,62.1
مسطرة(زاوية),unit,63.1
معجونى,unit,68.1
